best_match_score,School Name,State_left,Incident_ID_left,Month_left,Day_left,Year_left,Date_left,Victims_Killed_left,Victims_Wounded_left,Number_Victims_left,Shooter_Killed_left,Source_left,Number_News_left,Media_Attention_left,Reliability_left,Quarter_left,City_left,School_Level_left,Location_left,Location_Type_left,During_Classes_left,Time_Period_left,First_Shot_left,Duration_min_left,Summary_left,Narrative_left,Situation_left,Targets_left,Accomplice_left,Accomplice_Narrative_left,Hostages_left,Barricade_left,Officer_Involved_left,Bullied_left,Domestic_Violence_left,Gang_Related_left,Active_Shooter_FBI_left,Shots_Fired_left,LAT_left,LNG_left,School ID - NCES Assigned [Public School] Latest available year,School Type [Public School] 2019-20,Charter School [Public School] 2019-20,Magnet School [Public School] 2019-20,Shared Time School [Public School] 2019-20,Urban-centric Locale [Public School] 2019-20,Total Students All Grades (Excludes AE) [Public School] 2019-20,Full-Time Equivalent (FTE) Teachers [Public School] 2019-20,Pupil/Teacher Ratio [Public School] 2019-20,NCESSCH,IPR_EST,IPR_SE,Zip_Code,,,,,,,,,,,,
0.296078063898845,THORNRIDGE HIGH SCHOOL,IL,20231008ILTHD,10,8,2023,10/8/2023,0,0,0,0,https://www.cbsnews.com/chicago/news/youth-football-game-shooting-dolton-bears-thornridge-high-school/,1,Local,4,Fall,Dolton,High,Football Field/Track,Outside on School Property,No,Sport Event,2:45 PM,1,10 shots fired in stands during dispute between parents,"The third quarter was just getting under way as the Dolton Bears faced off with the South Holland Jets when a man opened fire. The ruckus cleared out the bleachers and had many scrambling. ""The first thing that came to our mind was to tell the children to get down, you know, get covered,"" said parent Dedric Scales. A packed crowd of mostly children ran for cover at the field at Thornridge High School where the peewee football game was underway. ",Escalation of Dispute,Both,No,,No,No,No,No,No,No,No,10,41.621601,-87.600081,173897000000,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,1038,92,11.28,173897003954,173,33,60419,,,,,,,,,,,,
0.192763049587324,OAK PARK HIGH SCHOOL,MI,20231006MIOAO,10,6,2023,10/6/2023,0,2,2,0,https://www.wxyz.com/news/2-students-shot-during-oak-park-high-school-homecoming-football-game-district-says,1,Local,4,Fall,Oak Park,High,Parking Lot,Outside on School Property,No,Sport Event,9:00 PM,1,Two students shot in the parking lot during football game,"Two students were shot Friday night during a football game at Oak Park High School, the school district said. It happened in the parking lot toward the end of Oak Park High School’s homecoming football game against Ferndale High School with about six minutes remaining. Oak Park Schools confirmed that both victims are students in the district. The district told 7 Action News that both students were transported to the hospital and one of the students was taken into surgery. Both are in stable condition. Some students reportedly were moved into the high school to shelter in place. Spectators took cover before being evacuated out of the opposite side of the stadium.",,,,,No,No,No,No,No,,No,99,42.465091,-83.184403,262619000000,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,1272,69.6,18.28,,,,48237,,,,,,,,,,,,
0.218701424600112,ROCKY MOUNTAIN PREP: SOUTHWEST,CO,20231004COROD,10,4,2023,10/4/2023,0,1,1,0,"https://www.9news.com/article/news/crime/father-in-hospital-after-shooting-near-denver-school/73-7bf9d3b4-9a62-4488-ac19-36751081ecd6
https://rockymountainprep.org/news/southwest-westwood-and-smart-schools-closed-oct-5/",1,Local,4,Fall,Denver,Elementary,Front of School,Off School Property,Yes,Dismissal,3:00 PM,1,Father picking up child shot while chasing teen with gun off of school property,"On Oct. 4, Duran said, he was picking up his 9-year-old son from elementary school near Kentucky Avenue and Federal Boulevard. His son hopped in the car, and then, Duran said, he saw a kid with a gun. ""He was walking on school grounds with that gun. I was literally one car away from the main office of my son's school,"" Duran said. According to Duran, the teenager threatened another kid with a gun, and then ran away. That's when Duran decided to chase him. ""I just couldn't let him get away. I had this feeling I had to intervene,"" Duran said. The kid fired a gun down the street from families. Duran's fourth-grade son heard the shots from the car. School went on lockdown. Multiple schools in the area were closed the following day.",Escalation of Dispute,Both,No,,No,No,No,No,No,,No,99,39.698913,-105.027691,80336006646,1-Regular school,1-Yes,2-No,2-No,11-City: Large,490,35.72,13.72,80336006646,150,22,80219,,,,,,,,,,,,
0.183344829921658,GARFIELD HIGH SCHOOL,WA,20231004WAGAS,10,4,2023,10/4/2023,0,0,0,0,"https://komonews.com/news/local/garfield-high-school-gun-shooting-police-presence-investigation-fight-football-field-property-damage-house-washington-king-county-public-schools-employee-staff-education-teacher-shots-fired-alder-bulldogss
https://www.king5.com/article/news/local/seattle/seattle-garfield-high-school-police-activity/281-3c2a7612-4965-4232-b05b-aaaab8baae18",10,Regional,4,Fall,Seattle,High,Football Field/Track,Outside on School Property,Yes,Lunch,12:42 PM,1,Shots fired near football field while students were outside for lunch,Shots fired near football field while students were outside for lunch. Students ran back to the building and went on lockdown. No injuries. Police found property damage and shell casings.,,,No,,No,No,No,No,No,,No,99,47.605389,-122.300104,530771000000,1-Regular school,2-No,2-No,–,11-City: Large,1786,68.63,26.02,,,,98122,,,,,,,,,,,,
0.228735757788911,ALHAMBRA HIGH SCHOOL,AZ,20231002AZALP,10,2,2023,10/2/2023,0,0,0,0,"https://www.abc15.com/news/region-phoenix-metro/central-phoenix/multiple-gunshots-fired-near-phoenix-high-school-football-field-during-practice
https://www.azfamily.com/2023/10/03/shots-fired-during-football-practice-near-west-phoenix-high-school/",5,Local,4,Fall,Phoenix,High,Football Field/Track,Outside on School Property,No,Sport Event,6:45 PM,1,Multiple shots were fired from a vehicle parked at the football field during practice,"The principal of the school sent a letter to parents saying, in part, ""...as football practice was concluding, a minivan parked near the football stadium and discharged a firearm several times,"" and went on to say, ""Thankfully, no one was hurt.""",Drive-by Shooting,,,,No,No,No,No,No,,No,99,33.508996,-112.141564,40633000538,1-Regular school,2-No,–,2-No,11-City: Large,2624,138.8,18.9,,,,85019,,,,,,,,,,,,
0.218701424600112,GRIFFIN HIGH SCHOOL,GA,20230930GAGRG,9,30,2023,9/30/2023,1,0,1,0,"https://www.fox5atlanta.com/news/suspect-identified-in-teen-homicide-outside-rival-high-school-football-game
https://www.griffindailynews.com/news/gpd-investigating-fatal-shooting-of-griffin-teen/article_6bf7ba7d-08a2-5c40-aac2-b5b4675aaf57.html
https://www.atlantanewsfirst.com/2023/10/01/1-dead-after-shooting-near-metro-atlanta-high-school-football-stadium-police-say/",10,Regional,4,Fall,Griffin,High,Parking Lot,Off School Property,No,Sport Event,4:42 PM,1,15-year-old was fatally shot while crowd was leaving the afternoon high school football game,"Griffin police said a 15-year-old boy was shot 150 feet from Griffin Memorial Stadium. According to police, units working the game between Griffin High and Spalding High reported hearing gunshots just before 4:45 p.m. They found the boy near the intersection of South 5th Street and Poplar Street, the intersection between the football stadium and field house. Police said the boy was taken to Spalding Regional Hospital, where he later died. The Griffin-Spalding County School System said the shooting happened near the end of the game. Police have issued a lookout for 18-year-old Kaomarion Kendricks, who has arrest warrants for murder, aggravated assault, possession of a pistol by persons under 18, reckless conduct and possession of a firearm during a felony. His whereabouts are unknown and he should be considered “armed and dangerous,” police said. Per police, the shooting was targeted and the shooter knew the victim.",,Victims Targeted,No,,No,No,No,No,No,,No,99,33.24564,-84.259326,130252000000,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,1450,88,16.48,,,,30224,,,,,,,,,,,,
0.208667091411312,ROTHSCHILD LEADERSHIP ACADEMY SCHOOL,GA,20230928GAROC,9,28,2023,9/28/2023,0,1,1,0,https://www.wtvm.com/2023/09/28/police-presence-middle-school-hunt-ave-columbus/,5,Local,4,Fall,Columbus,6-12,Inside School Building,Inside School Building,Yes,Afternoon Classes,1:00 PM,1,Student shot himself while taking gun out of Chromebook case,"A student was unintentionally shot after a gun was smuggled into Rothschild Leadership Academy, according to the Muscogee County School District. The student injured in the incident received immediate medical attention. No other injuries were reported and the weapon has been confiscated. MCSD says firearm was brought into the school through a Chromebook computer case.",Accidental,Neither,No,,No,No,No,No,No,No,No,1,32.468537,-84.91782,130387000000,1-Regular school,2-No,2-No,2-No,12-City: Mid-size,579,35.5,16.31,130387001399,166,41,31907,,,,,,,,,,,,
0.195402424455578,OTTUMWA HIGH SCHOOL,IA,20230922IAOTO,9,22,2023,9/22/2023,0,0,0,0,"https://www.kcrg.com/2023/09/25/ottumwa-police-end-homecoming-game-early-following-shots-fired-incident/
https://ottumwaradio.com/2023/09/opd-shots-fired-outside-of-schafer-stadium-during-football-game-remains-under-investigation/",4,Local,4,Fall,Ottumwa,High,Parking Lot,Outside on School Property,No,Sport Event,8:00 PM,1,"Shots fired in parking lot during half time, game cancelled","Shots were reportedly fired during halftime of Ottumwa’s game versus Marshalltown and out of an abundance of caution, the police department and the Ottumwa Community School District made the decision to halt the game which ended in a 44-7 victory for Marshalltown.",,,No,,No,No,No,No,No,,No,99,41.015503,-92.405708,192211000000,1-Regular school,2-No,†,2-No,33-Town: Remote,1282,73.42,17.46,,,,52501,,,,,,,,,,,,
0.19053148993297,WESTWOOD ELEMENTARY SCHOOL,TN,20230922TNWEM,9,22,2023,9/22/2023,0,1,1,0,"https://www.wsmv.com/2023/09/24/13-year-old-shot-by-teen-front-elementary-school-manchester/
https://www.wsmv.com/2023/09/25/teen-shot-outside-manchester-elementary-school-playground/",2,Local,4,Fall,Manchester,Elementary,Playground,Outside on School Property,No,Night,,1,13-year-old shot by 14-year-old in front of the school,"A 13-year-old was shot and another teen was detained after a shooting in front of an elementary school in Manchester on Friday night, according to District Attorney General Craig Northcott. Northcott said on Friday night the Manchester Police Department was called to Westwood Elementary School. A 13-year-old was shot and flown to Vanderbilt. Northcott said the teen was in critical but stable condition. A 14-year-old was detained for the shooting",,Victims Targeted,No,,No,No,No,,No,,No,99,35.471951,-86.094245,470453000000,1-Regular school,2-No,2-No,2-No,31-Town: Fringe,542,39,13.9,,,,37355,,,,,,,,,,,,
0.218701424600112,SWEETWATER HIGH SCHOOL,TN,20230922TNSWS,9,22,2023,9/22/2023,0,0,0,0,https://newschannel9.com/news/local/gunshots-heard-outside-finley-stadium-during-high-school-football-game,1,Local,4,Fall,Sweetwater,High,Football Field/Track,Outside on School Property,No,Sport Event,9:00 PM,1,2 shots fired during high school football game,Two shots fired during high school football game. Witnesses saw three teens run from the area. Players went back to the locker rooms for 15 minutes while police investigated and then the game resumed.,,,Yes,3 teens ran,No,No,No,,No,,No,2,35.597647,-84.469927,470300000000,1-Regular school,2-No,2-No,2-No,31-Town: Fringe,626,37.5,16.69,470300001199,225,46,37874,,,,,,,,,,,,
